Title,Subtitle,Battery,Weight,Plug Type,Number of Seats,Acceleration,Top Speed,Car Range,Efficiency,Fastcharge
Tesla Model 3 ,Battery Electric Vehicle ,57.5 kWh *,1000,Type 2 CCS,5,6.1 sec,225 km/h,380 km,151 Wh/km,590 km/h
Dacia Spring Electric,Battery Electric Vehicle ,26.8 kWh *,,Type 2 CCS,4,15.0 sec,125 km/h,170 km,158 Wh/km,170 km/h
Kia EV6 GT,Battery Electric Vehicle ,72.5 kWh *,1600,Type 2 CCS,5,3.5 sec,260 km/h,360 km,201 Wh/km,940 km/h
Hyundai IONIQ 5 Long Range AWD,Battery Electric Vehicle ,70 kWh *,1600,Type 2 CCS,5,5.2 sec,185 km/h,370 km,189 Wh/km,910 km/h
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle ,75 kWh *,1000,Type 2 CCS,5,4.4 sec,233 km/h,485 km,155 Wh/km,670 km/h
BMW i4 eDrive40,Battery Electric Vehicle ,80.7 kWh,1600,Type 2 CCS,5,5.7 sec,190 km/h,475 km,170 Wh/km,660 km/h
Nissan Leaf ,Battery Electric Vehicle ,37 kWh *,,N/A,5,7.9 sec,144 km/h,225 km,164 Wh/km,230 km/h
Kia EV6 Long Range 2WD,Battery Electric Vehicle ,72.5 kWh *,1600,Type 2 CCS,5,7.3 sec,185 km/h,400 km,181 Wh/km,1050 km/h
Skoda Enyaq iV 80,Battery Electric Vehicle ,77 kWh,1000,Type 2 CCS,5,8.6 sec,160 km/h,420 km,183 Wh/km,530 km/h
BMW iX xDrive50,Battery Electric Vehicle ,105.2 kWh,2500,Type 2 CCS,5,4.6 sec,200 km/h,505 km,208 Wh/km,620 km/h
Mercedes EQS 450+,Battery Electric Vehicle ,107.8 kWh,750,Type 2 CCS,5,6.2 sec,210 km/h,640 km,168 Wh/km,840 km/h
Hyundai IONIQ Electric,Battery Electric Vehicle ,38.3 kWh,,Type 2 CCS,5,9.7 sec,165 km/h,250 km,153 Wh/km,220 km/h
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle ,64 kWh,100,Type 2 CCS,5,7.9 sec,167 km/h,395 km,162 Wh/km,370 km/h
Volkswagen e-Up! ,Battery Electric Vehicle ,32.3 kWh,,Type 2 CCS,4,11.9 sec,130 km/h,205 km,158 Wh/km,170 km/h
Mercedes EQA 250,Battery Electric Vehicle ,66.5 kWh,750,Type 2 CCS,5,8.9 sec,160 km/h,355 km,187 Wh/km,510 km/h
Tesla Model Y Long Range Dual Motor,Battery Electric Vehicle ,75 kWh *,1600,Type 2 CCS,5,5.0 sec,217 km/h,435 km,172 Wh/km,600 km/h
Mercedes EQE 350,Battery Electric Vehicle ,90 kWh,,Type 2 CCS,5,6.0 sec,160 km/h,535 km,168 Wh/km,680 km/h
Audi Q4 e-tron 40,Battery Electric Vehicle ,76.6 kWh,1000,Type 2 CCS,5,8.5 sec,160 km/h,405 km,189 Wh/km,510 km/h
BMW i3 120 Ah,Battery Electric Vehicle ,37.9 kWh,,Type 2 CCS,4,7.3 sec,150 km/h,235 km,161 Wh/km,270 km/h
Tesla Model S Plaid,Battery Electric Vehicle ,95 kWh *,,N/A,5,2.1 sec,322 km/h,560 km,170 Wh/km,780 km/h
Aiways U5 ,Battery Electric Vehicle ,63 kWh *,1500,Type 2 CCS,5,7.5 sec,150 km/h,330 km,191 Wh/km,340 km/h
Honda e ,Battery Electric Vehicle ,28.5 kWh *,,Type 2 CCS,4,9.0 sec,145 km/h,170 km,168 Wh/km,190 km/h
Kia EV6 Long Range AWD,Battery Electric Vehicle ,72.5 kWh *,1600,Type 2 CCS,5,5.2 sec,185 km/h,390 km,186 Wh/km,1020 km/h
Renault Megane E-Tech EV60 220hp,Battery Electric Vehicle ,60 kWh *,900,Type 2 CCS,5,7.4 sec,160 km/h,360 km,167 Wh/km,520 km/h
Hyundai IONIQ 5 Long Range 2WD,Battery Electric Vehicle ,70 kWh *,1600,Type 2 CCS,5,7.4 sec,185 km/h,380 km,184 Wh/km,930 km/h
BMW iX xDrive40,Battery Electric Vehicle ,71 kWh,2500,Type 2 CCS,5,6.1 sec,200 km/h,350 km,203 Wh/km,470 km/h
Polestar 2 Long Range Dual Motor,Battery Electric Vehicle ,75 kWh,1500,Type 2 CCS,5,4.7 sec,205 km/h,395 km,190 Wh/km,510 km/h
BMW i4 M50,Battery Electric Vehicle ,80.7 kWh,1600,Type 2 CCS,5,3.9 sec,225 km/h,450 km,179 Wh/km,630 km/h
Volkswagen ID.4 Pro Performance,Battery Electric Vehicle ,77 kWh,1000,Type 2 CCS,5,8.5 sec,160 km/h,410 km,188 Wh/km,520 km/h
Audi e-tron 55 quattro,Battery Electric Vehicle ,86.5 kWh,1800,Type 2 CCS,5,5.7 sec,200 km/h,365 km,237 Wh/km,590 km/h
Mercedes EQS 580 4MATIC,Battery Electric Vehicle ,107.8 kWh,750,Type 2 CCS,5,4.3 sec,210 km/h,610 km,177 Wh/km,800 km/h
Renault Zoe ZE50 R110,Battery Electric Vehicle ,52 kWh,,Type 2 CCS,5,11.4 sec,135 km/h,315 km,165 Wh/km,230 km/h
Audi e-tron GT RS,Battery Electric Vehicle ,85 kWh,,Type 2 CCS,4,3.3 sec,250 km/h,405 km,210 Wh/km,1000 km/h
Kia e-Niro 64 kWh,Battery Electric Vehicle ,64 kWh,,Type 2 CCS,5,7.8 sec,167 km/h,370 km,173 Wh/km,350 km/h
Lightyear One ,Battery Electric Vehicle ,60 kWh *,,Type 2 CCS,5,10.0 sec,150 km/h,575 km,104 Wh/km,540 km/h
Nissan Ariya 87kWh,Battery Electric Vehicle ,87 kWh,1500,Type 2 CCS,5,7.6 sec,160 km/h,445 km,196 Wh/km,530 km/h
Skoda Enyaq iV 60,Battery Electric Vehicle ,58 kWh,1000,Type 2 CCS,5,8.7 sec,160 km/h,330 km,176 Wh/km,460 km/h
MG ZS EV Long Range,Battery Electric Vehicle ,68.3 kWh,500,Type 2 CCS,5,8.4 sec,175 km/h,370 km,185 Wh/km,360 km/h
Audi e-tron 50 quattro,Battery Electric Vehicle ,64.7 kWh,1800,Type 2 CCS,5,6.8 sec,190 km/h,280 km,231 Wh/km,470 km/h
Tesla Model S Long Range,Battery Electric Vehicle ,95 kWh *,,N/A,5,3.2 sec,250 km/h,585 km,162 Wh/km,810 km/h
Audi Q4 e-tron 35,Battery Electric Vehicle ,52 kWh,0,Type 2 CCS,5,9.0 sec,160 km/h,285 km,182 Wh/km,360 km/h
Mercedes EQC 400 4MATIC,Battery Electric Vehicle ,80 kWh,1800,Type 2 CCS,5,5.1 sec,180 km/h,370 km,216 Wh/km,440 km/h
Mazda MX-30 ,Battery Electric Vehicle ,30 kWh *,,Type 2 CCS,5,9.7 sec,140 km/h,170 km,176 Wh/km,180 km/h
CUPRA Born 150 kW - 58 kWh,Battery Electric Vehicle ,58 kWh,,Type 2 CCS,5,7.3 sec,160 km/h,350 km,166 Wh/km,490 km/h
Fiat 500e Hatchback 42 kWh,Battery Electric Vehicle ,37.3 kWh,,Type 2 CCS,4,9.0 sec,150 km/h,235 km,159 Wh/km,390 km/h
Nissan Leaf e+,Battery Electric Vehicle ,56 kWh *,,N/A,5,7.3 sec,157 km/h,325 km,172 Wh/km,390 km/h
Ford Mustang Mach-E GT,Battery Electric Vehicle ,88 kWh,750,Type 2 CCS,5,4.4 sec,200 km/h,410 km,215 Wh/km,400 km/h
Porsche Taycan Turbo S,Battery Electric Vehicle ,83.7 kWh,,Type 2 CCS,4,2.8 sec,260 km/h,400 km,209 Wh/km,880 km/h
Volkswagen ID.4 GTX,Battery Electric Vehicle ,77 kWh,1200,Type 2 CCS,5,6.2 sec,180 km/h,400 km,193 Wh/km,500 km/h
Tesla Model Y Performance,Battery Electric Vehicle ,75 kWh *,,Type 2 CCS,5,3.7 sec,250 km/h,415 km,181 Wh/km,580 km/h
Skoda Enyaq iV 50,Battery Electric Vehicle ,52 kWh,,Type 2 CCS,5,11.3 sec,160 km/h,295 km,176 Wh/km,240 km/h
Skoda Enyaq iV 80x,Battery Electric Vehicle ,77 kWh,1200,Type 2 CCS,5,6.9 sec,160 km/h,400 km,193 Wh/km,500 km/h
Volkswagen ID.3 Pro,Battery Electric Vehicle ,58 kWh,,Type 2 CCS,5,9.6 sec,160 km/h,350 km,166 Wh/km,490 km/h
Polestar 2 Long Range Single Motor,Battery Electric Vehicle ,75 kWh,1500,Type 2 CCS,5,7.4 sec,160 km/h,425 km,176 Wh/km,550 km/h
Peugeot e-208 ,Battery Electric Vehicle ,45 kWh *,,Type 2 CCS,5,8.1 sec,150 km/h,285 km,158 Wh/km,460 km/h
